,Artist,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
0,BTS,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
1,Lil Uzi Vert,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
2,Drake,Drake White,https://www.ticketmaster.com/drake-white-indianapolis-indiana-03-18-2023/event/05005E22B19D1600,United States Of America,Indianapolis,-86.249381,39.768343
3,"Tyler, The Creator","EARFQUAKE! A Tyler, The Creator Party with Blade Trip",https://www.ticketweb.com/event/earfquake-a-tyler-the-creator-strummers-tickets/12759565,United States Of America,Fresno,-119.8023913,36.7589448
4,Paul McCartney,Tony Kishman-Live and Let Die: The Music of Paul McCartney,https://www.ticketmaster.com/tony-kishmanlive-and-let-die-the-fort-mcdowell-arizona-02-18-2023/event/19005D76E6282DA2,United States Of America,Fort McDowell,-111.67075,33.67495
5,Taylor Swift,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
6,Michael Bublé,Michael Bublé,https://www.ticketmaster.co.uk/michael-buble-london-26-03-2023/event/35005D3DD22C3F14,Great Britain,London,0.005519,51.501581
7,Billie Eilish,Billie Eilish Estacionamiento,https://www.ticketmaster.com.mx/billie-eilish-estacionamiento-mexico-29-03-2023/event/14005D548BCB0A5B,Mexico,México,-99.095618,19.405199
8,Sam Smith,Sam Smith,https://www.axs.com/events/461439/sam-smith-gloria-the-tour-tickets?skin=gassouthdistrict,United States Of America,Duluth,-84.0907288,33.9869191
9,Justin Bieber,Justin Bieber,https://www.eticketing.co.uk/asmglobalaberdeen,Great Britain,Aberdeen,-2.190396,57.185147
10,Mac Miller,No events,-,-,-,-,-
11,Eminem,SHADY: A Live Band Tribute To The Music Of Eminem,https://www.ticketweb.com/event/shady-a-live-band-tribute-joes-live-rosemont-tickets/12652835,United States Of America,Rosemont,-87.867325,41.979238
12,Sia,No events,-,-,-,-,-
13,Britney Spears,No events,-,-,-,-,-
14,Marshmello,Ultra Music Festival,https://on.fgtix.com/trk/DDCK,United States Of America,Miami,-80.213359,25.760077
15,Ariana Grande,No events,-,-,-,-,-
16,Juice WRLD,No events,-,-,-,-,-
17,Brett Eldredge,No events,-,-,-,-,-
18,Lady Gaga,Big Wig Lady Gaga Brunch: The Ultimate Drag Experience,https://concerts.livenation.com/big-wig-lady-gaga-brunch-the-philadelphia-pennsylvania-01-28-2023/event/02005D69970923FB,United States Of America,Philadelphia,-75.134752,39.965819
19,Jonas Brothers,Jonas Brothers - Live in Vegas,https://www.ticketmaster.com/jonas-brothers-live-in-vegas-las-vegas-nevada-02-17-2023/event/2E005D89EBF80D1C,United States Of America,Las Vegas,-115.175233,36.105126
20,The Weeknd,The Weeknd Grada,https://www.ticketmaster.com.mx/the-weeknd-grada-mexico-29-09-2023/event/14005D6EA9652FE7,Mexico,México,-99.095618,19.405199
21,Maroon 5,Prague Rocks: Maroon 5,https://www.ticketmaster.cz/event/prague-rocks-maroon-5-tickets/45801?language=en-us,Czech Republic,Praha 9,14.5238,50.13177
22,OneRepublic,OneRepublic,https://www.ticketmaster.co.uk/onerepublic-london-14-06-2023/event/37005D36ACF640C4,Great Britain,London,-0.283527,51.557918
23,Pop Smoke,Blackberry Smoke,https://www.ticketmaster.co.uk/blackberry-smoke-glasgow-27-03-2023/event/1F005ABAE4155FC1,Great Britain,Glasgow,-4.2587809,55.8504496
24,Megan Thee Stallion,No events,-,-,-,-,-
25,Agust D,No events,-,-,-,-,-
26,Kid Cudi,No events,-,-,-,-,-
27,Olivia Rodrigo,Swift & Sour: A Taylor Swift & Olivia Rodrigo Dance Party,https://www.ticketmaster.com/swift-sour-a-taylor-swift-olivia-virginia-beach-virginia-01-28-2023/event/01005D4C7C5F0F26,United States Of America,Virginia Beach,-76.0194075,36.8493416
28,Dua Lipa,No events,-,-,-,-,-
29,Ava Max,No events,-,-,-,-,-
30,Gwen Stefani,Amex presents BST Hyde Park - P!nk,https://www.ticketmaster.co.uk/amex-presents-bst-hyde-park-pnk-london-24-06-2023/event/37005D3C845A3FCC,Great Britain,London,-0.165708,51.507432
31,DMX,No events,-,-,-,-,-
32,The Neighbourhood,Neighbourhood Weekender - Saturday Ticket,https://www.ticketmaster.co.uk/neighbourhood-weekender-saturday-ticket-warrington-05-27-2023/event/37005D61972C14CD,Great Britain,Warrington,-2.576634,53.384488
