,Highest_Charting_Position,Number_Of_Times_Charted,Week_Of_Highest_Charting,Song_Name,Streams,Artist,Artist_Followers,Song_Id,Genre,Release_Date,Weeks_Charted,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Gender,Age,Type,Country,Genre2,Genre1,Genre_Gen,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting
0,1,8,2021-07-23,Beggin',"48,633,449",Måneskin,3377762,3Wrjm47oTz2sjIgck11l5e,"[""['indie rock italiano'"", "" 'italian pop']""]",2017-12-08,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11",100.0,0.714,0.8,-4.808,0.0504,0.127,0.359,134.002,211560.0,0.589,B,mixed,4,group,,italian pop,indie rock italiano,rock,July,Summer,2021
1,8,10,2021-07-02,I WANNA BE YOUR SLAVE,"24,551,591",Måneskin,3377762,4pt5fDVTg5GhEvEtlz9dKk,"[""['indie rock italiano'"", "" 'italian pop']""]",2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28",95.0,0.75,0.608,-4.008,0.0387,0.00165,0.178,132.507,173347.0,0.958,C#/Db,mixed,4,group,,italian pop,indie rock italiano,rock,July,Summer,2021
2,12,11,2021-05-28,ZITTI E BUONI,"7,975,148",Måneskin,3377762,776AftMmFFAWUIEAb3lHhw,"[""['indie rock italiano'"", "" 'italian pop']""]",2021-03-19,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-03-05--2021-03-12",86.0,0.625,0.939,-3.115,0.0669,0.00138,0.424,102.999,194787.0,0.644,E,mixed,4,group,,italian pop,indie rock italiano,rock,May,Spring,2021
3,127,2,2021-05-28,CORALINE,"5,241,813",Måneskin,3377762,7HMz8o0m7ASQ3ImFPfhWTY,"[""['indie rock italiano'"", "" 'italian pop']""]",2021-03-19,"2021-06-04--2021-06-11
2021-05-28--2021-06-04",81.0,0.363,0.678,-4.939,0.0995,0.0299,0.324,162.124,300413.0,0.321,D,mixed,4,group,,italian pop,indie rock italiano,rock,May,Spring,2021
4,2,3,2021-07-23,STAY (with Justin Bieber),"47,248,719",The Kid LAROI,2230022,5HCyWlXZPP0y6Gqq8TgA20,"[""['australian hip hop']""]",2021-07-09,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16",99.0,0.591,0.764,-5.484,0.0483,0.0383,0.103,169.928,141806.0,0.478,C#/Db,male,16,person,AU,,australian hip hop,hip hop,July,Summer,2021
5,36,1,2021-07-23,NOT SOBER (feat. Polo G & Stunna Gambino),"11,869,336",The Kid LAROI, , ,[' '], ,2021-07-23--2021-07-30,,,,,,,,,,, ,male,16,person,AU,,[],other,July,Summer,2021
6,7,34,2021-02-05,WITHOUT YOU,"7,642,130",The Kid LAROI,2230022,27OeeYzk6klgBh83TSvGMA,"[""['australian hip hop']""]",2020-11-06,"2021-07-23--2021-07-30
2021-07-16--2021-07-23
2021-07-09--2021-07-16
2021-07-02--2021-07-09
2021-06-25--2021-07-02
2021-06-18--2021-06-25
2021-06-11--2021-06-18
2021-06-04--2021-06-11
2021-05-28--2021-06-04
2021-05-21--2021-05-28
2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07
2021-04-23--2021-04-30
2021-04-16--2021-04-23
2021-04-09--2021-04-16
2021-04-02--2021-04-09
2021-03-26--2021-04-02
2021-03-19--2021-03-26
2021-03-12--2021-03-19
2021-03-05--2021-03-12
2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11",87.0,0.662,0.413,-7.357,0.0299,0.213,0.134,93.005,161385.0,0.467,C,male,16,person,AU,,australian hip hop,hip hop,February,Winter,2021
7,34,3,2021-04-30,WITHOUT YOU (with Miley Cyrus),"6,081,034",The Kid LAROI,2230022,1EHUQesfVKwbthtNcpBi9g,"[""['australian hip hop']""]",2021-04-30,"2021-05-14--2021-05-21
2021-05-07--2021-05-14
2021-04-30--2021-05-07",81.0,0.655,0.469,-6.257,0.0292,0.173,0.0956,92.56,161385.0,0.467,C,male,16,person,AU,,australian hip hop,hip hop,April,Spring,2021
8,46,19,2020-11-06,SO DONE,"5,440,707",The Kid LAROI,2238190,5psEZhQu6lukjhavJo4AbC,"[""['australian hip hop']""]",2020-10-23,"2021-02-26--2021-03-05
2021-02-19--2021-02-26
2021-02-12--2021-02-19
2021-02-05--2021-02-12
2021-01-29--2021-02-05
2021-01-22--2021-01-29
2021-01-15--2021-01-22
2021-01-08--2021-01-15
2021-01-01--2021-01-08
2020-12-25--2021-01-01
2020-12-18--2020-12-25
2020-12-11--2020-12-18
2020-12-04--2020-12-11
2020-11-27--2020-12-04
2020-11-20--2020-11-27
2020-11-13--2020-11-20
2020-11-06--2020-11-13
2020-10-30--2020-11-06
2020-10-23--2020-10-30",74.0,0.719,0.598,-6.254,0.077,0.232,0.115,142.592,126521.0,0.303,A,male,16,person,AU,,australian hip hop,hip hop,November,Autumn,2020
9,60,17,2020-06-12,GO (feat. Juice WRLD),"5,370,330",The Kid LAROI,2238190,2rPHUAeUPbNgTmK18FPTiZ,"[""['australian hip hop']""]",2020-07-24,"2020-12-04--2020-12-11
2020-11-06--2020-11-13
2020-09-18--2020-09-25
2020-09-11--2020-09-18
2020-09-04--2020-09-11
2020-08-28--2020-09-04
2020-08-21--2020-08-28
2020-08-14--2020-08-21
2020-08-07--2020-08-14
2020-07-31--2020-08-07
2020-07-24--2020-07-31
2020-07-17--2020-07-24
2020-07-10--2020-07-17
2020-07-03--2020-07-10
2020-06-26--2020-07-03
2020-06-19--2020-06-26
2020-06-12--2020-06-19",78.0,0.487,0.74,-4.973,0.0944,0.157,0.612,73.779,181688.0,0.522,F#/Gb,male,16,person,AU,,australian hip hop,hip hop,June,Summer,2020
