,Song_Name,Genre,Subgenre,Subgenre_2,Release_Date,Song_Decade,Streams,Week_Of_Highest_Charting,Month_Highest_Charting,Season_Highest_Charting,Year_Highest_Charting,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration_(Ms),Valence,Chord,Artist,Artist_Followers,Gender,Artist_Generation,Type,Country,Event_Name,url,Event_Country,Event_City,Event_Longitude,Event_Latitude
0,UGH!,pop,k-pop,k-pop boy group,2020-02-21,2020s,"9,991,177",2020-02-21,February,Winter,2020,72.0,0.72,0.824,-5.086,0.128,0.0394,0.0509,165.998,225012.0,0.333,A#/Bb,BTS,37151476,mixed,Generation Z,group,KR,BTS 14-17 Party,https://www.ticketmaster.co.uk/bts-1417-party-london-12-02-2023/event/1F005D89D56A5463,Great Britain,London,-0.10661535,51.53445948
1,Bigger Than Life,rap,melodic rap,philly rap,2020-03-06,2020s,"9,974,143",2020-03-06,March,Spring,2020,62.0,0.776,0.752,-4.711,0.193,0.325,0.33,140.013,192705.0,0.716,G#/Ab,Lil Uzi Vert,11821805,male,Millennial,person,US,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
2,Time Flies,hip hop,canadian hip hop,canadian pop,2020-05-01,2020s,"9,904,749",2020-05-01,May,Spring,2020,71.0,0.864,0.477,-5.786,0.224,0.201,0.182,86.46,192932.0,0.5,A#/Bb,Drake,56327031,male,Millennial,person,CA,Drake White,https://www.ticketmaster.com/drake-white-indianapolis-indiana-03-18-2023/event/05005E22B19D1600,United States Of America,Indianapolis,-86.249381,39.768343
3,HOT WIND BLOWS (feat. Lil Wayne),hip hop,hip hop,rap,2021-06-25,2020s,"9,889,197",2021-06-25,June,Summer,2021,77.0,0.371,0.75,-5.382,0.402,0.601,0.482,173.456,155293.0,0.729,G,"Tyler, The Creator",6777818,male,Millennial,person,US,"EARFQUAKE! A Tyler, The Creator Party with Blade Trip",https://www.ticketweb.com/event/earfquake-a-tyler-the-creator-strummers-tickets/12759565,United States Of America,Fresno,-119.8023913,36.7589448
4,Wonderful Christmastime - Edited Version / Remastered 2011,rock,album rock,art rock,1980-05-16,1980s,"9,882,989",2020-12-18,December,Winter,2020,51.0,0.774,0.511,-8.914,0.0319,0.322,0.0672,94.736,227653.0,0.771,B,Paul McCartney,3609658,male,Baby Boomer,person,GB,Tony Kishman-Live and Let Die: The Music of Paul McCartney,https://www.ticketmaster.com/tony-kishmanlive-and-let-die-the-fort-mcdowell-arizona-02-18-2023/event/19005D76E6282DA2,United States Of America,Fort McDowell,-111.67075,33.67495
5,You Belong With Me (Taylor’s Version),pop,pop,post-teen pop,2021-04-09,2020s,"9,872,084",2021-04-09,April,Spring,2021,73.0,0.632,0.773,-4.856,0.0346,0.0623,0.0885,130.033,231124.0,0.474,F#/Gb,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
6,Holly Jolly Christmas,pop,canadian pop,canadian pop,2012-11-09,2010s,"9,852,792",2020-12-18,December,Winter,2020,48.0,0.647,0.465,-8.308,0.0428,0.865,0.0882,151.251,119787.0,0.699,G,Michael Bublé,4702232,male,Generation X,person,CA,Michael Bublé,https://www.ticketmaster.co.uk/michael-buble-london-26-03-2023/event/35005D3DD22C3F14,Great Britain,London,0.005519,51.501581
7,Venetia,rap,melodic rap,philly rap,2020-03-06,2020s,"9,824,605",2020-03-06,March,Spring,2020,63.0,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,188800.0,0.562,A,Lil Uzi Vert,11821805,male,Millennial,person,US,Rolling Loud California,https://on.fgtix.com/trk/Ntkn,United States Of America,Inglewood,-118.3368854,33.95371247
8,Fearless (Taylor’s Version),pop,pop,post-teen pop,2021-04-09,2020s,"9,676,024",2021-04-09,April,Spring,2021,69.0,0.569,0.741,-4.963,0.0282,0.0122,0.333,100.118,241592.0,0.43,F,Taylor Swift,42227614,female,Millennial,person,US,Taylor Swift Night,https://www.ticketweb.com/event/taylor-swift-night-brooklyn-bowl-nashville-tickets/12722145,United States Of America,Nashville,-86.7853446,36.1726131
9,NDA,pop,electropop,pop,2021-07-30,2020s,"9,635,619",2021-07-09,July,Summer,2021,84.0,0.765,0.373,-9.921,0.0713,0.341,0.112,85.016,195777.0,0.554,G#/Ab,Billie Eilish,47014200,female,Generation Z,person,US,Billie Eilish Estacionamiento,https://www.ticketmaster.com.mx/billie-eilish-estacionamiento-mexico-29-03-2023/event/14005D548BCB0A5B,Mexico,México,-99.095618,19.405199
