,index,artist,gender,age,type,country,city_1,district_1,city_2,district_2,city_3,district_3
0,0,Drake,male,33,person,CA,n/a,n/a,Toronto,n/a,,
1,1,Post Malone,male,25,person,US,n/a,n/a,Syracuse,n/a,,
2,2,Ed Sheeran,male,29,person,GB,n/a,n/a,Halifax,n/a,,
3,3,J Balvin,male,35,person,CO,n/a,n/a,Medellín,n/a,,
4,4,Bad Bunny,male,26,person,PR,n/a,n/a,San Juan,n/a,,
5,5,Justin Bieber,male,26,person,CA,n/a,n/a,London,n/a,,
6,6,Ozuna,male,28,person,PR,n/a,n/a,San Juan,n/a,,
7,7,Ariana Grande,female,27,person,US,n/a,n/a,Boca Raton,n/a,,
8,8,Khalid,male,22,person,US,n/a,n/a,n/a,n/a,,
9,9,Daddy Yankee,male,43,person,PR,n/a,n/a,San Juan,n/a,,
10,10,Travis Scott,male,28,person,US,n/a,n/a,Houston,n/a,,
11,11,The Weeknd,male,30,person,CA,n/a,n/a,Scarborough,n/a,,
12,12,XXXTENTACION,male,20,person,US,n/a,n/a,Plantation,n/a,Deerfield Beach,n/a
13,13,Billie Eilish,female,18,person,US,n/a,n/a,Los Angeles,n/a,,
14,14,The Chainsmokers,mixed,8,group,US,n/a,n/a,New York,n/a,,
15,15,Anuel Aa,male,27,person,PR,n/a,n/a,Carolina,n/a,,
16,16,Nicky Jam,male,40,person,PR,n/a,n/a,Boston,n/a,,
17,17,Maluma,male,26,person,CO,n/a,n/a,Medellín,n/a,,
18,18,Camila Cabello,female,23,person,US,n/a,n/a,Cojímar,n/a,,
19,19,Dua Lipa,female,24,person,GB,n/a,n/a,London,n/a,,
20,20,Juice WRLD,male,21,person,US,n/a,n/a,Chicago,n/a,Oak Lawn,n/a
21,21,Selena Gomez,female,28,person,US,n/a,n/a,Grand Prairie,n/a,,
22,22,Halsey,female,25,person,US,n/a,n/a,Washington,n/a,,
23,23,Cardi B,female,27,person,US,n/a,n/a,n/a,The Bronx,,
24,24,Calvin Harris,male,36,person,GB,n/a,n/a,n/a,n/a,,
25,25,Nicki Minaj,female,37,person,,n/a,Queens,Port of Spain,n/a,,
26,26,Shawn Mendes,male,21,person,CA,n/a,n/a,Toronto,n/a,,
27,27,Imagine Dragons,mixed,12,group,US,n/a,n/a,Las Vegas,n/a,,
28,28,Kendrick Lamar,male,33,person,US,n/a,n/a,Compton,n/a,,
29,29,Sam Smith,other,28,person,GB,n/a,n/a,n/a,n/a,,
30,30,Future,male,36,person,,Atlanta,n/a,Atlanta,n/a,,
31,31,Farruko,male,29,person,PR,n/a,n/a,Bayamón,n/a,,
32,32,Maroon 5,mixed,18,group,US,n/a,n/a,Los Angeles,n/a,,
33,33,Rihanna,female,32,person,,New York,n/a,n/a,n/a,,
34,34,Lil Uzi Vert,male,26,person,US,n/a,n/a,n/a,Francisville,,
35,35,Kygo,male,28,person,NO,n/a,n/a,n/a,n/a,,
36,36,Marshmello,male,28,person,US,n/a,n/a,Philadelphia,n/a,,
37,37,Quavo,male,29,person,US,n/a,n/a,Lawrenceville,n/a,,
38,38,21 Savage,male,27,person,US,n/a,n/a,n/a,Plaistow,,
39,39,DJ Snake,male,34,person,FR,n/a,n/a,Paris,n/a,,
40,40,Young Thug,male,28,person,US,n/a,n/a,Atlanta,n/a,,
41,41,Sia,female,44,person,AU,n/a,n/a,Adelaide,n/a,,
42,42,Sech,male,26,person,PA,n/a,n/a,n/a,n/a,,
